year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
2036,35314.539,35622.834,35965.878,36328.383,36706.722,37100.973,37512.93,37943.49,38387.349,38833.314,39266.877,39680.589,40071.642,40434.888,40766.661,41066.766,41333.877,41571.582,41786.355,41979.405,42144.804,42282.942,42394.677,42481.374,42548.025,40800.825,40872.819,41478.372,42807.336,43407.936,43660.539,43997.85,44762.484,44730.465,44691.231,45954.48,46947.225,46679.841,46770.477,46987.785,47629.959,48508.941,49230.051,49872.42,51004.941,51797.031,51795.276,49990.863,48829.131,48135.906,48252.633,48501.219,46666.347,47162.037,46908.459,46303.023,46739.823,43795.167,42578.016,41805.348,40030.536,41371.434,39754.845,40232.283,42786.003,46141.368,46697.547,44082.519,42572.361,42686.397,43007.718,45554.418,46312.539,45818.721,45372.015,45379.23,44427.084,42132.558,40901.757,39088.452,36095.787,34291.218,31418.4,28669.212,25975.326,23207.691,20774.364,18566.145,16701.087,15824.133,9834.123,8349.744,6963.879,6014.424,4202.835,3026.205,2212.431,1603.836,1137.045,754.767,1329.315
2037,35072.31,35363.484,35688.627,36030.93,36388.404,36761.283,37150.659,37558.56,37985.688,38425.647,38866.503,39294.879,39704.418,40092.234,40455.558,40794,41108.028,41393.937,41652.195,41884.869,42087.162,42255.408,42395.067,42506.49,42590.886,42652.935,40901.172,40967.316,41566.785,42890.835,43487.613,43734.444,44063.448,44819.541,44780.931,44735.301,45990.75,46975.032,46699.536,46782.216,46990.632,47621.262,48487.062,49195.497,49826.439,50946.87,51726.402,51711.309,49895.625,48722.037,48014.655,48114.69,48346.545,46501.104,46977.762,46706.946,46085.559,46501.767,43554.342,42324.672,41535.039,39748.293,41053.467,39420.81,39861.432,42353.493,45630.156,46130.253,43495.335,41950.038,41999.178,42242.538,44657.964,45304.428,44715.684,44164.146,44042.505,42977.025,40605.63,39253.266,37327.056,34279.284,32371.677,29457.09,26669.682,23950.134,21188.388,18762.393,16568.799,14709.669,13737.945,8403.876,7013.994,5741.892,4860.258,3323.58,2338.362,1667.991,1178.034,812.565,1379.742
2038,34849.347,35122.113,35429.901,35754.303,36091.536,36443.316,36811.281,37196.523,37600.992,38024.22,38458.992,38894.817,39318.981,39725.049,40112.943,40482.975,40835.652,41168.712,41475.291,41751.528,41993.445,42198.663,42368.391,42507.894,42617.211,42696.927,42753.087,40996.488,41057.016,41652.078,42971.799,43562.649,43801.212,44121.948,44870.631,44825.586,44773.17,46020.078,46995.663,46712.328,46786.077,46983.69,47601.684,48454.965,49151.856,49771.956,50879.868,51644.658,51614.589,49787.595,48601.605,47880.534,47964.111,48178.572,46322.562,46779.291,46491.354,45854.757,46249.944,43299.126,42054.909,41246.556,39447.018,40713.465,39062.595,39463.398,41889.822,45082.284,45522.633,42866.538,41282.124,41259.816,41419.17,43694.82,44223.582,43535.544,42874.26,42616.587,41431.65,38981.553,37497.096,35461.413,32372.886,30363.684,27415.518,24603.345,21879.195,19148.571,16755.687,14604.486,12780.885,11750.895,7066.41,5789.472,4645.368,3848.325,2571.582,1765.413,1226.94,843.18,1453.335
2039,34644.402,34899.813,35188.959,35495.967,35815.299,36146.799,36493.626,36857.457,37239.228,37639.719,38057.721,38487.462,38919.036,39339.885,39746.265,40140.867,40525.017,40896.609,41250.612,41575.482,41861.001,42105.999,42312.933,42482.31,42619.434,42723.993,42797.976,42848.247,41086.851,41143.206,41734.602,43048.161,43630.314,43860.492,44174.247,44915.949,44864.079,44804.37,46042.503,47009.625,46717.71,46780.578,46966.335,47572.2,48414.132,49100.259,49708.893,50801.829,51550.161,51504.687,49666.071,48468.186,47734.05,47800.545,47996.793,46129.941,46566.702,46262.307,45610.11,45982.599,43027.101,41766.894,40938.495,39124.449,40348.425,38677.86,39036.543,41392.728,44495.373,44871.411,42191.136,40563.081,40463.709,40533.87,42661.476,43066.608,42274.869,41497.521,41095.977,39786.981,37250.031,35635.743,33502.404,30377.568,28272.504,25304.604,22488.921,19785.753,17112.576,14780.454,12700.194,10942.074,9890.751,5838.885,4689.321,3682.692,2981.589,1944.228,1300.572,879.528,1524.471
2040,34454.004,34695.531,34967.049,35255.415,35557.275,35870.874,36197.421,36540.075,36900.435,37278.189,37673.415,38086.347,38511.798,38940.057,39361.257,39774.345,40183.338,40586.715,40979.289,41351.661,41685.852,41974.491,42221.166,42427.71,42594.669,42727.23,42825.978,42894.072,42938.688,41174.133,41226.9,41812.29,43116.918,43690.725,43914,44221.008,44955.261,44896.098,44828.667,46058.259,47015.943,46713.225,46764.432,46939.074,47534.058,48365.148,49039.926,49635.222,50711.661,51442.989,51381.486,49531.833,48322.443,47574.54,47623.719,47801.169,45923.631,46340.619,46019.454,45350.604,45697.938,42736.629,41459.028,40608.282,38778.012,39956.124,38264.967,38578.878,40860.183,43866.147,44171.634,41463.708,39788.307,39607.347,39583.791,41555.085,41830.035,40928.511,40028.586,39476.814,38032.137,35413.287,33679.854,31450.692,28298.439,26108.823,23143.029,20349.966,17694.534,15106.845,12863.916,10882.872,9218.781,8181.381,4734.639,3722.121,2856.984,2257.359,1434.381,933.738,1597.947
2041,34277.607,34505.913,34763.352,35033.895,35317.113,35613.201,35921.769,36244.182,36583.287,36939.63,37312.08,37702.197,38110.8,38532.936,38961.507,39389.727,39817.245,40245.543,40670.019,41081.04,41462.967,41800.278,42090.594,42337.035,42541.356,42703.518,42830.229,42923.01,42985.176,43025.619,41258.49,41305.758,41882.646,43178.187,43744.935,43961.736,44261.802,44988.099,44921.214,44846.373,46066.371,47012.55,46698.327,46738.419,46903.233,47488.116,48308.013,48969.336,49549.305,50608.701,51322.479,51245.181,49385.076,48163.83,47401.809,47432.619,47591.076,45704.178,46101.12,45761.781,45073.977,45394.011,42426.267,41129.166,40253.616,38405.484,39534.612,37821.654,38088.18,40288.989,43189.458,43417.647,40679.496,38954.331,38687.454,38565.618,40371.903,40508.832,39491.088,38463.516,37748.061,36169.458,33482.475,31630.521,29311.776,26146.224,23892.063,20955.012,18211.713,15632.643,13158.912,11033.1,9177.909,7633.509,6641.817,3762.603,2891.343,2166.021,1667.874,1031.433,1685.073
2042,34112.871,34330.14,34574.319,34830.705,35095.905,35373.312,35664.369,35968.764,36287.628,36622.716,36973.716,37341.018,37726.806,38132.094,38554.737,38990.328,39433.095,39880.191,40329.705,40772.667,41193.282,41578.29,41917.317,42207.399,42451.578,42651.258,42807.57,42928.197,43015.089,43073.004,43110.093,41338.206,41377.245,41945.67,43233.645,43793.529,44003.466,44296.083,45014.034,44939.739,44856.708,46065.084,46998.666,46673.757,46704.255,46859.865,47434.101,48240.66,48886.812,49451.259,50492.754,51188.904,51096.045,49225.215,47991.762,47215.077,47227.596,47367.567,45471.504,45846.801,45487.026,44778.669,45069.18,42093.48,40774.617,39872.001,38005.227,39082.095,37346.4,37561.797,39674.466,42459.729,42604.224,39834.678,38057.838,37701.339,37476.504,39107.094,39097.539,37958.895,36791.235,35911.59,34210.176,31458.336,29492.892,27096.303,23939.799,21646.677,18766.059,16101.696,13628.316,11296.311,9313.668,7607.613,6203.925,5284.695,2926.482,2195.076,1602.705,1201.161,1810.458
2043,33955.818,34165.989,34398.936,34642.023,34893.066,35152.416,35424.753,35711.598,36012.483,36327.252,36657.036,37002.81,37365.783,37748.256,38154.051,38583.753,39033.93,39496.392,39964.938,40433.211,40885.806,41309.58,41696.46,42035.214,42322.8,42562.299,42756.051,42906.318,43021.173,43103.814,43158.102,43189.653,41410.473,41441.127,42002.454,43283.331,43836.156,44038.488,44323.266,45033.339,44950.854,44857.683,46053.54,46975.305,46641.036,46662.603,46808.775,47370.258,48161.49,48792.198,49340.382,50364.132,51042.966,50933.649,49051.899,47805.81,47014.422,47009.235,47130.291,45224.361,45575.478,45193.356,44462.847,44720.715,41735.616,40393.119,39461.838,37575.291,38596.389,36836.202,36995.049,39011.076,41672.007,41727.699,38926.407,37096.293,36645.882,36311.847,37755.198,37591.944,36320.232,35013.342,33978.828,32155.032,29345.784,27277.614,24823.617,21703.266,19398.522,16604.172,14048.775,11709.906,9545.172,7728.24,6189.846,4942.197,4115.709,2224.716,1626.573,1155.96,2009.787
2044,33800.598,34009.638,34235.292,34466.991,34704.696,34949.85,35204.091,35472.255,35755.512,36052.302,36361.728,36686.325,37027.926,37387.701,37770.525,38183.457,38627.979,39097.929,39581.958,40069.302,40547.286,41003.04,41428.686,41815.293,42151.746,42434.652,42668.145,42855.774,42999.996,43110.834,43190.004,43238.52,43261.764,41475.369,41499.159,42053.856,43327.206,43872.27,44066.841,44344.092,45045.234,44952.57,44848.206,46032.363,46943.793,46600.866,46612.995,46747.662,47294.676,48070.386,48684.909,49217.025,50223.264,50883.69,50757.369,48864.387,47605.74,46800.702,46777.653,46878.429,44960.838,45285.63,44879.367,44123.859,44345.691,41350.257,39982.566,39020.709,37113.57,38074.803,36286.614,36382.827,38294.373,40822.587,40784.796,37951.758,36066.693,35516.559,35066.421,36312.315,35980.893,34577.088,33141.42,31950.633,30009.174,27155.349,25003.797,22518.483,19462.443,17176.497,14498.952,12081.849,9904.245,7928.622,6295.029,4936.893,3853.824,3133.104,1650.831,1174.992,2115.477
2045,33641.205,33854.925,34079.292,34303.854,34530.288,34762.104,35001.954,35251.788,35516.403,35795.526,36086.973,36391.134,36711.597,37050,37410.165,37800.126,38227.956,38692.29,39184.119,39687.219,40184.274,40665.651,41123.277,41548.65,41932.917,42264.417,42541.278,42768.843,42950.388,43090.32,43197.726,43271.046,43311.216,43326.27,41533.947,41551.38,42099.252,43364.568,43901.715,44088.798,44357.469,45047.652,44944.068,44829.642,46003.308,46904.754,46552.935,46553.637,46675.161,47207.784,47967.192,48565.725,49081.89,50069.487,50711.076,50566.893,48662.757,47392.371,46573.761,46531.329,46609.368,44678.751,44975.151,44542.173,43758.858,43941.378,40935.024,39540.735,38546.781,36617.451,37512.306,35692.371,35720.919,37521.159,39908.661,39772.824,36907.728,34964.514,34308.144,33736.17,34767.018,34265.712,32740.5,31175.742,29831.607,27782.898,24905.478,22695.738,20207.031,17245.644,15010.671,12479.922,10228.647,8235.513,6465.498,5026.749,3854.604,2937.636,2328.261,1194.219,2201.784
2046,33475.689,33696.039,33924.93,34148.127,34367.463,34587.969,34814.442,35049.885,35296.092,35556.612,35830.353,36116.574,36416.523,36733.827,37072.776,37440.312,37845.21,38292.969,38779.065,39290.043,39803.088,40303.575,40786.824,41244.177,41667.171,42046.68,42372.096,42642.756,42864.432,43041.648,43177.875,43279.626,43344.561,43376.463,43384.848,41587.143,41597.829,42137.94,43394.793,43924.53,44103.345,44361.642,45040.086,44926.206,44803.122,45966.882,46857.954,46495.254,46483.125,46591.389,47108.607,47852.142,48434.841,48934.08,49902.255,50523.993,50361.792,48447.789,47165.859,46332.312,46268.313,46321.509,44376.657,44641.584,44178.615,43365.27,43506.099,40488.24,39065.949,38037.285,36082.449,36904.257,35049.651,35006.244,36688.392,38926.914,38688.039,35789.247,33784.374,33016.815,32310.525,33120.555,32457.516,30811.131,29121.144,27632.007,25495.002,22620.312,20379.801,17918.745,15083.133,12931.659,10575.747,8514.012,6723.327,5169.099,3929.718,2942.199,2186.067,1686.789,2275.416
2047,33300.735,33531.225,33766.512,33994.077,34211.97,34425.339,34640.736,34862.763,35094.423,35336.496,35591.595,35860.071,36142.08,36438.87,36756.759,37103.079,37485.63,37910.73,38380.524,38885.652,39406.614,39923.286,40425.684,40908.621,41363.595,41781.792,42155.139,42474.354,42739.086,42956.394,43130.1,43260.633,43353.96,43410.588,43435.548,43437.537,41634.333,41637.726,42169.92,43418.856,43940.13,44108.688,44355.597,45023.121,44900.583,44769.543,45923.28,46801.833,46426.653,46401.342,46495.449,46997.769,47725.548,48291.438,48773.361,49721.022,50322.246,50142.807,48219.327,46924.878,46074.444,45986.577,46012.902,44051.943,44281.926,43786.314,42940.794,43036.851,40007.565,38554.932,37487.229,35503.377,36246.093,34355.256,34236.15,35793.576,37874.187,37525.371,34591.011,32522.568,31631.808,30790.539,31384.08,30556.89,28793.232,26987.298,25370.28,23169.588,20325.669,18085.197,15684.474,13005.369,10968.828,8811.933,6958.302,5381.649,4046.133,3003.507,2192.541,1586.091,2658.162
2048,33112.794,33356.778,33602.01,33835.932,34058.193,34270.08,34478.301,34689.369,34907.808,35135.295,35371.986,35621.664,35885.733,36164.544,36461.919,36787.257,37148.826,37551.696,37998.87,38487.93,39003.12,39527.748,40046.292,40548.378,41028.936,41479.074,41891.109,42258.138,42571.425,42831.945,43045.743,43213.521,43335.591,43420.572,43470.453,43488.978,43484.181,41674.971,41670.993,42195.816,43435.743,43946.526,44104.008,44340.465,44998.356,44868.135,44728.905,45870.006,46734.519,46347.015,46307.859,46388.355,46875.972,47587.02,48135.438,48599.109,49525.788,50106.888,49910.094,47976.318,46667.244,45798.09,45684.639,45681.246,43701.879,43893.876,43363.203,42483.324,42531.762,39489.84,38003.004,36891.582,34876.14,35534.46,33606.261,33408.102,34833.435,36745.254,36279.165,33308.964,31167.981,30153.942,29186.547,29557.983,28568.241,26696.514,24791.91,23070.021,20832.786,18050.175,15842.775,13535.613,11041.641,9148.698,7209.735,5576.259,4217.889,3096.639,2241.369,1593.189,2851.056
2049,32909.526,33169.305,33427.992,33671.898,33900.282,34116.537,34323.198,34527.168,34734.57,34948.836,35170.902,35402.289,35647.599,35908.314,36187.749,36492.768,36833.433,37215.36,37640.382,38106.9,38606.217,39125.112,39651.651,40169.883,40669.785,41145.468,41589.405,41995.161,42355.95,42665.025,42921.957,43129.827,43289.064,43402.983,43481.178,43524.585,43536.48,43524.39,41708.901,41697.903,42214.302,43443.387,43942.86,44090.241,44317.806,44967,44828.589,44678.985,45805.851,46656.051,46255.677,46203.261,46270.38,46742.397,47436.051,47966.1,48411.168,49317.138,49877.724,49662.288,47716.539,46391.319,45501.768,45359.73,45323.226,43323.657,43475.016,42906.864,41990.637,41987.478,38930.424,37405.134,36246.171,34197.696,34766.823,32800.716,32519.409,33803.523,35534.499,34944.819,31931.757,29721.783,28593.63,27499.017,27646.32,26500.656,24537.942,22557.522,20756.775,18513.768,15824.601,13684.047,11502.699,9218.742,7493.343,5784.558,4375.839,3232.476,2314.143,1631.019,2989.311
2050,32690.541,32966.7,33240.948,33498.114,33736.482,33958.821,34169.889,34372.221,34572.525,34775.754,34984.56,35201.361,35428.302,35670.492,35931.987,36218.871,36539.334,36900.396,37304.592,37749.231,38226.045,38729.067,39249.912,39776.139,40292.148,40787.175,41256.657,41694.432,42093.948,42450.291,42755.739,43006.938,43206.228,43357.08,43464.135,43535.856,43572.594,43577.391,43557.852,41736.474,41717.676,42223.818,43441.008,43930.146,44068.986,44288.361,44928.312,44779.722,44618.34,45730.932,46566.078,46152.99,46087.626,46140.744,46596.576,47271.9,47783.502,48210.357,49095.189,49633.974,49397.439,47438.118,46095.348,45182.943,45009.042,44936.151,42915.015,43022.772,42414.996,41459.301,41398.851,38324.169,36756.954,35547.681,33465.393,33940.881,31935.696,31565.469,32698.458,34237.593,33510.321,30460.248,28193.997,26951.106,25731.615,25657.983,24370.944,22339.512,20308.899,18459.363,16243.656,13679.991,11639.589,9613.305,7558.824,6018.987,4544.982,3357.9,2419.092,1686.438,3111.81
2051,32455.722,32748.183,33038.655,33311.304,33562.893,33795.216,34012.329,34219.068,34417.734,34613.865,34811.634,35015.097,35227.647,35451.429,35694.282,35963.304,36265.593,36606.765,36990.33,37414.182,37869.195,38349.753,38854.725,39375.297,39899.301,40410.396,40899.183,41362.464,41793.96,42189.03,42541.746,42841.383,43084.002,43274.829,43418.817,43519.32,43584.372,43613.973,43611.516,43585.074,41757.066,41728.479,42223.389,43429.737,43910.139,44040.945,44251.896,44880.693,44720.52,44547.282,45644.586,46464.912,46039.695,45960.525,45999.213,46438.002,47094.411,47587.917,47996.52,48858.576,49372.869,49113.246,47138.949,45776.094,44837.91,44629.221,44517.369,42473.301,42534.57,41883.738,40883.817,40759.914,37666.005,36054.759,34792.992,32676.462,33052.734,31006.092,30540.744,31513.209,32841.432,31975.632,28903.914,26583.999,25229.022,23891.244,23607.363,22199.502,20124.507,18072.834,16207.425,14053.143,11646.063,9736.779,7890.246,6077.994,4734.444,3491.943,2516.124,1765.413,3235.44
2052,32206.278,32513.871,32820.372,33109.401,33376.473,33621.822,33848.919,34061.664,34264.698,34459.152,34649.862,34842.288,35041.5,35250.852,35475.258,35725.677,36010.377,36333.414,36697.011,37100.271,37534.77,37993.566,38476.035,38980.968,39499.278,40018.368,40523.223,41005.77,41462.772,41889.783,42281.187,42628.092,42919.305,43153.422,43337.112,43474.782,43568.811,43626.453,43648.527,43639.128,43604.808,41768.454,41729.298,42214.146,43411.056,43883.346,44006.118,44206.578,44822.544,44650.476,44464.758,45547.164,46352.787,45914.7,45821.607,45844.851,46266.051,46904.364,47379.462,47768.058,48604.803,49092.42,48807.798,46816.38,45430.749,44464.017,44218.044,44064.579,41996.409,42007.173,41308.176,40258.842,40066.104,36952.5,35295.546,33979.53,31827.822,32097.936,30007.068,29441.217,30236.388,31346.718,30351.75,27263.223,24895.26,23434.944,21992.451,21515.481,20010.237,17920.422,15879.279,14032.59,11973.741,9751.014,7999.446,6351.228,4786.197,3641.781,2619.942,1838.577,3376.191
2053,31942.131,32265.012,32586.489,32891.352,33174.921,33435.753,33675.642,33898.371,34107.411,34306.233,34495.227,34680.633,34868.769,35064.822,35274.798,35506.965,35773.101,36078.588,36424.284,36807.693,37221.405,37659.726,38120.667,38603.058,39105.768,39619.164,40131.936,40630.551,41106.78,41559.297,41982.642,42368.157,42706.677,42989.31,43216.485,43393.818,43524.741,43611.594,43661.67,43676.841,43659.681,43615.65,41770.053,41721.342,42197.766,43385.823,43849.767,43962.438,44150.769,44753.709,44569.395,44371.587,45439.212,46229.391,45778.083,45670.053,45677.736,46082.01,46701.837,47157.045,47523.255,48332.388,48791.184,48478.326,46467.018,45056.271,44059.236,43773.249,43575.129,41480.751,41435.394,40682.655,39579.657,39313.872,36180.885,34476.936,33104.292,30915.144,31071.144,28934.49,28256.007,28868.502,29764.41,28639.026,25541.412,23135.112,21582.912,20054.151,19404.957,17830.098,15756.468,13759.083,11966.214,10034.427,8018.946,6445.92,5007.015,3685.929,2735.733,1917.045,3524.781
2054,31665.27,32001.333,32337.825,32657.703,32957.106,33234.357,33489.729,33725.289,33944.274,34149.102,34342.386,34526.076,34707.192,34892.13,35089.002,35306.778,35554.545,35841.507,36169.692,36535.434,36929.529,37347.102,37787.607,38248.47,38728.677,39226.434,39733.512,40239.81,40732.068,41203.968,41652.858,42070.314,42447.366,42777.306,43052.997,43273.737,43444.323,43567.992,43647.474,43690.608,43697.823,43670.874,43616.391,41762.838,41706.288,42174.951,43353.843,43807.179,43908.072,44084.352,44673.759,44477.55,44268.042,45320.106,46094.217,45628.869,45505.785,45498.648,45885.684,46485.504,46918.404,47260.122,48039.42,48465.885,48121.32,46088.289,44650.671,43620.837,43292.145,43045.665,40921.53,40813.734,40002.534,38842.908,38499.981,35348.625,33595.809,32162.52,29933.358,29968.263,27777.477,26985.543,27419.925,28094.781,26840.814,23745.93,21317.01,19691.139,18097.326,17301.687,15687.984,13663.104,11742.744,10037.157,8260.044,6468.345,5087.394,3860.649,2772.315,2004.327,3682.731
2055,31377.762,31724.901,32074.419,32409.234,32723.574,33016.698,33288.489,33539.454,33771.309,33986.043,34185.372,34373.274,34552.713,34730.631,34916.427,35121.06,35354.631,35623.497,35933.235,36281.271,36657.777,37055.928,37475.724,37916.19,38374.596,38849.889,39341.523,39842.088,40342.068,40829.997,41298.192,41741.193,42150.186,42518.58,42841.578,43110.795,43324.749,43488.12,43604.379,43677.075,43712.409,43709.835,43672.356,43608.318,41748.486,41684.799,42145.506,43313.088,43754.529,43843.761,44007.132,44583.123,44375.526,44153.772,45189.456,45946.368,45466.941,45329.622,45307.431,45675.981,46253.376,46661.862,46977.06,47722.935,48113.442,47734.011,45677.619,44211.102,43146.597,42771.378,42471.078,40313.325,40137.513,39264.42,38045.358,37621.506,34452.132,32647.095,31148.676,28878.213,28777.788,26536.38,25639.419,25890.618,26340.912,24964.836,21890.505,19458.972,17780.139,16145.883,15233.673,13614.12,11670.516,9858.537,8270.262,6669.741,5110.755,3927.3,2907.372,2033.733,3853.239
2056,31082.805,31437.978,31798.494,32146.179,32475.3,32783.478,33071.142,33338.331,33585.552,33813.156,34022.391,34216.377,34399.989,34576.386,34755.162,34948.758,35169.225,35423.739,35715.576,36045.438,36404.238,36784.839,37185.213,37604.97,38043.018,38496.549,38965.485,39450.606,39945.009,40440.66,40924.884,41387.19,41821.689,42222.024,42583.437,42899.961,43162.353,43369.014,43525.014,43634.409,43699.305,43725.006,43712.097,43665.024,43592.952,41727.738,41656.953,42107.637,43262.31,43691.7,43768.452,43919.499,44482.464,44262.777,44028.426,45046.794,45786.117,45293.508,45141.798,45103.188,45450.873,46003.737,46385.625,46671.183,47379.93,47730.657,47313.786,45232.59,43735.302,42633.006,42205.878,41845.713,39651.222,39403.104,38464.998,37184.238,36675.249,33486.765,31625.412,30058.392,27738.36,27499.953,25220.598,24217.635,24283.623,24510.33,23025.093,19992.999,17580.693,15873.117,14225.718,13229.736,11638.185,9806.628,8130.876,6684.873,5275.608,3949.881,2961.309,2135.679,3993.327
2057,30782.271,31143.45,31511.766,31870.41,32212.401,32535.36,32838,33121.101,33384.546,33627.516,33849.582,34053.435,34243.131,34423.74,34600.956,34787.571,34997.04,35238.645,35516.208,35828.208,36168.834,36531.534,36914.397,37314.927,37732.5,38165.634,38612.808,39075.231,39554.19,40044.225,40536.21,41014.545,41468.271,41894.151,42287.427,42642.405,42952.065,43207.359,43406.805,43555.746,43657.302,43712.526,43727.619,43705.311,43650.36,43571.19,41700.789,41620.683,42059.862,43201.431,43618.107,43682.964,43821.96,44371.041,44138.952,43891.341,44891.73,45614.049,45108.453,44940.987,44883.93,45208.761,45735.066,46087.47,46339.566,47007.246,47315.112,46857.837,44750.589,43219.917,42075.033,41590.146,41164.695,38931.789,38607.309,37601.577,36256.311,35655.555,32446.557,30526.236,28879.968,26514.111,26144.586,23830.326,22722.921,22605.453,22616.568,21040.266,18073.692,15704.988,13995.15,12363.585,11318.775,9788.064,8095.815,6579.027,5293.431,4082.013,2981.94,2178.189,4162.431
2058,30478.968,30843.267,31217.433,31583.838,31936.788,32272.539,32590.038,32888.037,33167.394,33426.588,33664.02,33880.704,34080.228,34266.921,34448.349,34633.404,34836.087,35066.733,35331.426,35629.191,35951.994,36296.715,36661.677,37044.54,37442.886,37855.74,38282.517,38723.178,39179.439,39654.03,40140.36,40626.261,41095.821,41541.123,41960.178,42346.941,42695.289,42997.812,43245.657,43438.239,43579.302,43671.186,43715.958,43721.613,43691.388,43629.3,43543.032,41665.611,41574.741,42002.298,43130.061,43534.335,43587.609,43713.969,44248.698,44003.31,43742.4,44725.278,45430.203,44910.372,44724.927,44647.551,44947.851,45444.555,45763.614,45979.089,46602.66,46864.194,46363.629,44227.911,42659.448,41467.062,40919.307,40424.397,38152.023,37747.593,36670.608,35255.766,34556.028,31326.633,29337.243,27613.443,25215.099,24711.96,22368.255,21161.439,20868.588,20677.761,19031.376,16155.633,13856.427,12172.407,10586.355,9527.817,8088.171,6557.304,5215.314,4100.616,3085.446,2196.129,4311.216
2059,30175.704,30540.393,30917.445,31289.661,31650.372,31997.082,32327.295,32640.192,32934.447,33209.475,33463.17,33695.22,33907.575,34104.018,34291.725,34481.031,34681.959,34906.092,35159.826,35444.721,35753.523,36080.46,36427.482,36792.444,37173.123,37566.711,37973.208,38393.472,38827.971,39279.708,39750.594,40230.996,40708.161,41169.297,41607.696,42020.277,42400.371,42741.582,43036.617,43277.559,43462.458,43593.81,43675.242,43710.576,43708.236,43671.03,43601.844,43506.216,41620.371,41518.893,41934.204,43048.59,43440.93,43481.841,43595.214,44114.733,43856.007,43582.383,44547.477,45233.682,44697.51,44492.487,44393.037,44665.647,45129.045,45411.405,45587.373,46163.208,46375.173,45827.769,43659.603,42048.513,40804.179,40189.5,39621.66,37309.155,36820.095,35666.319,34176.558,33371.715,30114.435,28058.55,26268.918,23841.441,23204.532,20840.04,19544.46,19089.33,18714.15,17022.408,14263.899,12060.789,10431.096,8919.066,7880.535,6557.772,5203.77,4044.768,3103.347,2275.221,4429.776
2060,29874.273,30237.675,30614.844,30989.985,31356.468,31710.783,32051.916,32377.527,32686.641,32976.645,33246.096,33494.409,33722.091,33931.443,34128.9,34324.641,34529.859,34752.042,34999.458,35273.433,35569.209,35882.34,36211.734,36558.795,36921.573,37297.338,37684.569,38084.748,38498.85,38928.786,39376.857,39841.815,40313.481,40782.183,41236.455,41668.38,42074.253,42447.171,42780.894,43069.026,43302.246,43477.629,43598.49,43670.406,43697.979,43688.619,43644.237,43565.886,43459.533,41565.576,41452.983,41856.36,42957.525,43337.112,43365.543,43465.227,43969.068,43697.55,43411.329,44357.235,45022.263,44468.19,44241.912,44117.619,44359.068,44785.806,45028.737,45161.961,45686.589,45844.617,45244.719,43040.01,41382.354,40082.874,39397.995,38753.715,36399.558,35819.355,34582.509,33013.461,32088.966,28810.08,26700.492,24846.354,22395.438,21628.191,19256.601,17887.077,17286.126,16748.94,15039.453,12424.698,10343.775,8795.982,7383.909,6395.844,5209.698,4040.439,3064.815,2291.445,4569.591
